m gam aeat p isp o/f
2.1913*10 1.2373  3.2500*10 4.3712*0.1 3.0264  6.2000 
2.1913*10 1.2389  3.5000*10 3.9652*0.1 3.0411  6.2000 
2.1913*10 1.2404  3.7500*10 3.6212*0.1 3.0544  6.2000 
2.1983*10 1.1775  0.0000  1.6500*100 0.0000  6.3000 
2.1983*10 1.1804  1.0000  9.3763*10 1.1084  6.3000 
2.1983*10 1.2135  1.0000*10 2.0882  2.7406  6.3000 
2.1983*10 1.2175  1.2500*10 1.5498  2.8045  6.3000 
2.1983*10 1.2208  1.5000*10 1.2162  2.8531  6.3000 
2.1983*10 1.2237  1.7500*10 9.9147*0.1 2.8919  6.3000 
2.1983*10 1.2263  2.0000*10 8.3101*0.1 2.9240  6.3000 
2.1983*10 1.2287  2.2500*10 7.1135*0.1 2.9511  6.3000 
2.1983*10 1.2309  2.5000*10 6.1910*0.1 2.9746  6.3000 
2.1983*10 1.2318  2.6200*10 5.8203*0.1 2.9847  6.3000 
2.1983*10 1.2328  2.7500*10 5.4607*0.1 2.9951  6.3000 
2.1983*10 1.2347  3.0000*10 4.8699*0.1 3.0133  6.3000 
2.1983*10 1.2364  3.2500*10 4.3832*0.1 3.0297  6.3000 
2.1983*10 1.2379  3.5000*10 3.9763*0.1 3.0444  6.3000 
2.1983*10 1.2394  3.7500*10 3.6316*0.1 3.0579  6.3000 
2.2049*10 1.1771  0.0000  1.6500*100 0.0000  6.4000 
2.2049*10 1.1799  1.0000  9.3778*10 1.1068  6.4000 
2.2049*10 1.2128  1.0000*10 2.0915  2.7419  6.4000 
2.2049*10 1.2167  1.2500*10 1.5525  2.8061  6.4000 
2.2049*10 1.2201  1.5000*10 1.2184  2.8550  6.4000 
2.2049*10 1.2230  1.7500*10 9.9339*0.1 2.8940  6.4000 
2.2049*10 1.2256  2.0000*10 8.3269*0.1 2.9263  6.4000 
2.2049*10 1.2279  2.2500*10 7.1286*0.1 2.9536  6.4000 
2.2049*10 1.2300  2.5000*10 6.2046*0.1 2.9772  6.4000 
2.2049*10 1.2310  2.6200*10 5.8332*0.1 2.9874  6.4000 
2.2049*10 1.2320  2.7500*10 5.4731*0.1 2.9978  6.4000 
2.2049*10 1.2338  3.0000*10 4.8812*0.1 3.0162  6.4000 
2.2049*10 1.2355  3.2500*10 4.3937*0.1 3.0326  6.4000 
2.2049*10 1.2371  3.5000*10 3.9860*0.1 3.0475  6.4000 
2.2049*10 1.2386  3.7500*10 3.6407*0.1 3.0610  6.4000 
2.2110*10 1.1767  0.0000  1.6500*100 0.0000  6.5000 
2.2110*10 1.1795  1.0000  9.3791*10 1.1052  6.5000 
2.2110*10 1.2123  1.0000*10 2.0943  2.7428  6.5000 
2.2110*10 1.2161  1.2500*10 1.5547  2.8073  6.5000 
2.2110*10 1.2194  1.5000*10 1.2203  2.8565  6.5000 
2.2110*10 1.2223  1.7500*10 9.9504*0.1 2.8958  6.5000 
2.2110*10 1.2249  2.0000*10 8.3414*0.1 2.9282  6.5000 
2.2110*10 1.2272  2.2500*10 7.1415*0.1 2.9557  6.5000 
2.2110*10 1.2293  2.5000*10 6.2163*0.1 2.9794  6.5000 
2.2110*10 1.2303  2.6200*10 5.8444*0.1 2.9897  6.5000 
2.2110*10 1.2313  2.7500*10 5.4837*0.1 3.0002  6.5000 
2.2110*10 1.2331  3.0000*10 4.8910*0.1 3.0186  6.5000 
2.2110*10 1.2348  3.2500*10 4.4027*0.1 3.0352  6.5000 
2.2110*10 1.2364  3.5000*10 3.9944*0.1 3.0501  6.5000 
2.2110*10 1.2378  3.7500*10 3.6485*0.1 3.0638  6.5000 
2.2167*10 1.1764  0.0000  1.6500*100 0.0000  6.6000 
2.2167*10 1.1792  1.0000  9.3802*10 1.1035  6.6000 
2.2167*10 1.2118  1.0000*10 2.0967  2.7432  6.6000 
2.2167*10 1.2156  1.2500*10 1.5567  2.8081  6.6000 
2.2167*10 1.2189  1.5000*10 1.2220  2.8576  6.6000 
2.2167*10 1.2218  1.7500*10 9.9644*0.1 2.8971  6.6000 
2.2167*10 1.2243  2.0000*10 8.3537*0.1 2.9297  6.6000 
2.2167*10 1.2267  2.2500*10 7.1525*0.1 2.9574  6.6000 
2.2167*10 1.2288  2.5000*10 6.2262*0.1 2.9812  6.6000 
2.2167*10 1.2297  2.6200*10 5.8538*0.1 2.9916  6.6000 
